Recency_of_Purchase,Frequency_of_Purchases,Amount_Spent
334,4,5764.091499999983
25,182,4310.0
98,27,1437.24
41,72,1457.55
333,16,294.4
59,80,2226.04
227,4,111.123
255,58,1079.4
237,13,459.4
45,58,2487.43
56,131,5764.091499999983
25,17,928.0600000000001
80,245,5764.091499999983
75,126,2302.06
310,9,174.9
26,256,4737.23
132,23,552.0
30,81,1208.1
314,22,641.38
27,10,150.9
74,165,3421.94
82,62,1527.96
94,49,1196.04
334,13,324.6
48,32,622.93
33,15,377.5
334,76,1548.12
152,219,4008.62
104,38,777.24
44,100,2427.81
27,82,1474.81
207,94,1628.56
51,25,425.27000000000004
334,10,401.9
38,100,2780.66
102,31,504.84000000000003
44,93,439.66
95,64,1582.6000000000001
86,25,1080.48
42,144,2682.63
58,124,2214.9
68,84,1435.66
142,55,1033.65
326,4,111.123
334,10,195.6
72,4,391.7
171,53,1390.39
45,105,3415.3
72,72,1507.1200000000001
55,101,2618.55
101,109,5764.091499999983
331,25,533.33
97,58,1142.88
89,36,686.1
240,15,442.41
47,308,5764.091499999983
26,183,3226.1
135,34,668.58
86,29,600.39
38,41,639.04
118,38,683.5600000000001
25,117,1634.31
185,30,1760.96
101,36,777.2
217,29,510.73
44,28,699.8
48,288,5764.091499999983
32,94,3388.4
66,10,216.4
58,232,5764.091499999983
65,107,4359.32
25,308,5764.091499999983
107,50,806.14
102,36,5764.091499999983
122,15,429.01000000000005
25,184,4447.41
37,96,2466.85
334,10,155.55
26,11,144.06
44,172,4085.46
45,4,111.123
80,57,1002.3100000000001
266,25,431.49
67,21,365.45
45,187,3596.29
179,8,197.88
33,308,5764.091499999983
39,20,348.57
157,43,707.09
79,15,3528.34
96,85,2339.86
67,122,2581.04
89,59,2043.23
94,36,787.4
177,34,626.88
41,60,937.59
76,79,1200.78
33,22,957.05
40,45,682.1899999999999
210,36,657.54
25,308,5764.091499999983
55,308,5764.091499999983
52,164,3640.0499999999997
40,308,5764.091499999983
76,35,669.38
38,224,5764.091499999983
45,300,5764.091499999983
26,35,545.99
34,30,473.2
51,150,2885.63
45,208,5003.82
40,68,1910.98
58,308,3939.32
32,54,1244.66
334,14,298.93
28,235,4859.93
61,25,424.40000000000003
86,18,227.21
188,21,415.74
38,71,1084.1000000000001
104,13,953.1
44,21,349.70000000000005
46,52,4059.82
334,148,2025.39
118,142,2995.87
41,8,428.04999999999995
255,23,111.123
157,19,1052.81
49,68,397.88
307,6,158.5
165,31,814.5699999999999
89,31,132.18
135,34,558.29
290,51,1017.68
334,15,278.7
100,24,1186.06
51,276,2301.6
25,119,1840.89
86,16,276.84
102,147,2346.2599999999998
165,37,545.68
62,10,156.72
42,102,1699.77
32,136,3945.72
25,68,1172.66
104,17,330.71000000000004
32,86,1645.48
82,62,1500.28
37,17,125.22
53,15,313.83000000000004
153,62,981.18
114,34,716.35
66,261,5764.091499999983
52,21,363.95
45,273,5568.35
42,308,5764.091499999983
52,49,841.18
59,18,316.7
98,48,832.39
69,67,1021.5
220,6,151.79999999999998
189,4,111.123
102,56,824.83
334,10,168.0
62,19,317.82
31,182,3278.28
73,119,599.56
39,33,5764.091499999983
30,11,269.96
333,20,525.71
28,103,1918.01
325,16,238.85
31,161,3385.7400000000002
284,20,402.9
311,9,145.92
109,18,297.65
45,308,5764.091499999983
25,157,3152.69
62,34,519.61
31,58,912.42
250,28,160.54000000000002
334,10,182.45000000000002
58,88,1315.83
58,146,626.6
44,112,2402.51
101,28,386.42
269,23,379.7
62,14,179.71
261,20,351.36
25,232,5764.091499999983
26,95,2254.15
257,85,1824.1
40,11,196.94000000000003
30,4,111.123
62,9,174.89999999999998
51,33,574.68
234,67,5764.091499999983
334,25,368.85
115,16,401.6
131,20,382.09999999999997
60,114,3208.2200000000003
74,25,450.27
42,202,3195.22
32,127,2807.08
52,55,888.58
51,54,2311.04
212,23,487.06
81,12,153.12
44,4,613.1999999999999
102,15,236.18
83,101,1579.51
101,57,964.85
45,102,1747.54
75,65,1193.32
97,18,668.0400000000001
80,149,3092.38
300,20,315.6
25,101,2093.19
118,30,641.3
52,41,352.98
44,10,137.31
39,83,3335.24
37,91,1303.41
25,308,5764.091499999983
255,10,162.1
299,17,269.1
129,36,569.13
234,84,2413.82
46,285,5764.091499999983
33,224,4082.53
27,38,732.46
32,62,1030.88
80,30,480.5
81,97,1929.98
112,99,1509.18
90,308,5764.091499999983
56,38,511.69
261,21,366.1
46,50,994.58
138,9,145.9
48,44,905.26
151,18,3041.64
152,31,477.91
56,69,1631.18
27,45,1346.97
45,109,3146.82
177,20,300.05
130,29,569.51
26,19,242.44000000000003
334,9,114.0
334,47,793.98
171,43,2209.85
33,34,529.98
40,121,3619.17
34,44,1427.18
41,35,632.05
52,4,111.123
34,12,227.1
25,220,3543.78
31,28,4391.88
334,4,111.123
81,32,460.13
34,157,3177.15
173,99,2564.0299999999997
33,87,2744.05
334,10,225.89999999999998
28,41,574.52
61,79,1844.6
47,39,1091.39
65,157,5764.091499999983
81,44,951.02
25,49,790.81
37,308,5764.091499999983
26,308,5764.091499999983
27,308,5764.091499999983
30,99,2103.63
51,151,2575.08
334,6,111.123
136,171,4873.8099999999995
48,70,1139.61
228,15,335.01
51,27,927.8
150,35,711.91
93,35,761.67
30,27,582.1
51,38,757.59
30,264,4525.99
102,51,725.71
42,11,201.0
94,20,265.55
30,81,1740.84
38,308,5764.091499999983
314,33,603.42
52,147,2442.91
38,202,5764.091499999983
119,74,1023.02
51,120,3928.13
25,37,794.55
32,254,4294.86
129,19,263.36
26,67,963.49
174,53,830.98
94,18,202.25
28,37,572.95
25,308,5115.7300000000005
54,155,2386.13
108,52,979.63
26,68,707.07
28,49,923.41
334,23,371.8
51,117,2411.1
33,132,3440.7
94,42,728.33
136,25,417.01
46,273,5764.091499999983
202,11,218.26000000000002
257,22,383.95
334,4,111.123
334,41,689.5699999999999
334,4,144.0
334,10,137.35
122,37,975.54
86,27,427.6
157,131,540.13
74,222,5764.091499999983
25,103,4196.01
25,308,5764.091499999983
26,199,4090.88
151,15,275.88
104,53,4366.78
45,197,5764.091499999983
258,63,3010.74
303,4,3811.95
109,4,112.07999999999998
38,308,5764.091499999983
139,97,2791.59
75,92,1411.44
30,67,1702.52
161,18,494.08
334,45,1693.88
26,306,5764.091499999983
261,32,1143.6
233,12,1351.45
82,54,752.47
40,61,1281.04
42,44,693.23
60,149,3981.36
86,24,786.74
27,98,1938.92
25,80,1917.9099999999999
38,56,476.82
334,13,255.95
32,17,418.66
88,4,111.123
215,20,294.92
334,4,177.60000000000002
279,24,344.53999999999996
334,22,461.48
76,45,860.41
41,13,318.48
334,12,226.03
33,8,5764.091499999983
209,24,397.58
59,27,455.65000000000003
200,24,405.31
284,28,458.85
67,15,229.64000000000001
124,4,111.123
170,45,863.46
118,27,452.20000000000005
304,4,126.03999999999999
284,13,1182.0800000000002
26,59,942.34
237,6,111.123
93,46,948.88
97,5,1759.5
82,25,397.12
25,91,1474.72
28,25,430.15000000000003
25,56,1018.71
334,11,293.0
60,38,5764.091499999983
285,9,215.05
55,27,383.03
168,24,417.38
305,18,312.38
82,174,2610.36
196,12,134.1
56,120,671.95
25,308,5591.42
166,113,2726.77
27,308,3991.58
93,34,1118.99
88,103,1702.26
52,52,325.96000000000004
290,27,354.09
45,84,843.64
54,48,1010.29
119,47,131.81
317,17,311.55
157,78,1957.1000000000001
101,109,1316.25
334,4,111.123
30,308,2170.78
233,46,1106.4
75,5,521.2
161,4,147.12
49,95,1568.23
306,25,499.12
49,308,4009.34
208,107,1607.0600000000002
107,11,380.64
334,66,599.97
305,4,374.0
166,4,343.2300000000001
80,83,2053.02
26,154,1535.77
259,47,854.99
67,10,573.22
298,7,298.0
32,13,1463.04
47,42,703.47
111,7,309.05
86,71,1175.22
90,82,1378.4
237,5,354.12
47,79,376.71999999999997
208,4,331.0
53,31,176.55
65,22,372.8
227,4,216.5
31,116,5764.091499999983
287,10,138.68
41,71,496.06
34,63,2919.81
199,4,750.0
62,91,2178.67
46,75,3075.04
25,24,1662.3
27,50,2483.63
171,22,363.65
161,103,2944.95
151,4,594.0
31,50,1335.19
40,27,162.78
32,308,5764.091499999983
184,28,405.38
87,28,172.82
111,30,933.7
27,45,694.05
58,84,2062.7000000000003
334,8,117.85
101,25,415.8
44,82,5764.091499999983
47,106,607.53
25,129,2160.7
40,62,1063.9
38,120,1504.27
48,9,114.14
87,47,5764.091499999983
77,96,899.69
154,70,675.6
58,30,604.51
311,23,462.95
166,97,1603.99
39,116,2064.95
53,215,4167.22
25,23,1843.0
31,63,1064.07
28,79,1387.79
32,17,329.85
25,180,4757.16
329,19,111.123
32,238,4017.54
30,16,266.39
31,95,1856.63
112,108,769.8100000000001
32,10,160.18
334,19,1660.9
135,5,135.95
30,129,405.47
26,305,5764.091499999983
220,8,144.8
234,22,738.6
179,9,111.123
180,20,5764.091499999983
52,20,372.21999999999997
265,28,390.54
41,4,111.123
25,76,1239.38
96,28,558.7
315,83,505.82
26,64,5764.091499999983
54,13,409.5
46,31,503.76
46,27,414.76
27,61,974.4200000000001
108,4,211.32
45,59,1226.89
219,28,455.88
129,31,534.85
27,308,5764.091499999983
334,7,120.94999999999999
128,6,149.05
34,308,5655.91
196,26,513.7
79,4,111.123
334,14,229.46999999999997
334,4,111.123
32,88,1646.8400000000001
25,219,4810.9400000000005
33,109,3466.2799999999997
76,175,3339.64
96,47,789.89
30,4,204.0
39,308,5764.091499999983
27,131,2616.38
87,38,599.9
25,40,975.36
136,26,5764.091499999983
45,45,661.3199999999999
53,10,1247.5
34,92,752.4399999999999
75,71,1010.18
334,11,190.55
77,37,642.77
96,27,921.88
161,48,881.07
103,28,908.46
31,43,676.99
296,13,516.42
314,33,560.47
122,18,305.28000000000003
53,35,629.31
54,172,3237.54
37,135,1819.41
87,14,656.6800000000001
37,308,5764.091499999983
235,18,348.15000000000003
101,76,1214.41
47,8,271.40000000000003
272,8,183.4
276,15,307.53
95,10,248.61
214,11,346.98
35,68,1105.59
334,14,205.86
47,48,470.8
105,15,115.46000000000001
33,4,344.0
25,308,4431.44
215,9,228.8
289,7,177.15
152,22,919.61
25,111,728.02
26,308,5764.091499999983
27,6,220.10000000000002
202,6,111.123
34,308,5764.091499999983
149,73,3613.63
27,18,303.75
180,22,416.08000000000004
25,308,5764.091499999983
31,155,5764.091499999983
51,21,345.82
93,25,477.83
298,159,5764.091499999983
44,24,1927.3200000000002
93,6,111.123
55,308,5764.091499999983
25,308,5764.091499999983
122,4,207.35999999999999
257,8,111.123
25,304,5764.091499999983
62,8,243.94
26,20,1098.48
156,4,111.123
67,58,1531.6200000000001
334,10,350.06
82,47,786.54
54,145,1488.67
25,200,5764.091499999983
34,120,2294.78
161,30,501.14
44,76,984.91
42,79,1197.81
261,4,111.123
292,50,283.73
117,55,922.39
112,222,3756.33
27,140,2099.64
100,15,259.17
117,4,111.123
46,44,1073.3
284,4,111.123
296,7,111.123
108,98,1793.58
219,4,3096.0
79,127,2607.61
33,308,3603.29
45,63,962.39
39,170,5064.94
131,45,422.47
107,135,2388.75
42,23,307.09
334,4,111.123
62,6,618.52
49,17,228.91
33,4,712.8000000000001
52,308,3683.26
37,86,1676.06
318,74,1257.8700000000001
28,15,486.22
56,85,971.76
72,87,1741.22
117,79,1201.06
31,120,1429.35
45,4,111.123
334,8,112.75
145,79,1688.29
69,42,1021.48
306,41,417.2
41,65,791.33
59,126,1299.59
86,13,712.88
49,30,111.123
44,46,468.41
27,43,353.65
39,293,2742.82
69,67,481.49
87,17,282.45
49,265,5725.47
68,11,121.18
30,94,3957.78
37,179,1668.95
290,4,111.123
62,79,1575.89
334,37,236.02
34,4,114.60000000000001
41,29,260.68
118,63,911.94
84,25,112.08
158,4,111.123
34,110,1797.78
33,226,3401.2400000000002
26,119,5764.091499999983
42,46,870.09
32,57,869.46
38,8,250.26000000000002
81,148,1217.65
53,308,5764.091499999983
116,22,353.48
33,55,1095.42
42,141,786.83
79,90,1520.58
290,5,333.74
145,4,533.98
150,5,111.123
101,21,819.2900000000001
263,66,847.41
223,5,163.20000000000002
83,108,2155.95
26,32,5764.091499999983
296,16,111.123
224,9,257.7
104,4,358.0
248,10,160.95
27,308,2755.63
35,202,1328.35
97,43,605.12
235,58,1031.07
47,36,744.85
40,31,700.73
284,21,329.56
119,67,663.65
135,13,270.40000000000003
226,57,585.12
115,27,121.74000000000001
73,16,430.5
41,136,1961.52
40,25,501.12
147,26,465.68
115,23,711.41
179,36,1030.4
32,13,399.51
34,36,672.83
84,81,283.18
84,8,557.62
291,9,944.1
286,11,200.29
25,308,5764.091499999983
76,90,2092.66
34,187,3834.2599999999998
25,211,4521.49
40,308,3174.75
25,308,5343.28
334,4,590.0
60,87,211.49
54,15,276.56
136,16,138.98
86,30,590.9300000000001
38,8,258.4
63,46,542.73
101,9,137.75
145,82,798.46
41,37,1132.14
82,7,111.123
334,13,201.19
46,187,2709.12
178,42,361.11
61,31,578.9399999999999
212,54,873.74
334,10,201.20000000000002
160,5,111.123
30,59,2089.85
25,4,360.0
291,5,142.5
192,20,371.89
126,81,618.09
178,4,111.123
334,21,300.42
27,81,2000.86
143,4,111.123
45,54,1385.51
30,107,1456.79
51,72,1132.03
27,26,598.57
45,78,1555.32
25,62,775.94
60,86,5732.93
89,124,2273.68
25,20,640.76
28,308,5764.091499999983
101,105,1532.2
95,11,567.36
40,25,199.48000000000002
26,21,787.85
59,75,5764.091499999983
104,12,675.3
61,108,3627.77
334,17,1308.48
54,17,789.0
115,53,1140.93
37,21,350.9
105,265,3502.32
100,51,795.12
180,19,487.02
223,54,860.12
68,134,5764.091499999983
283,42,775.85
200,19,353.43
90,116,2511.69
310,20,389.5
93,8,341.36
87,14,233.76
33,16,247.32
39,40,979.12
89,16,373.94
83,24,397.97999999999996
94,51,743.53
145,32,674.7
103,42,768.24
280,89,609.4
291,29,439.03
86,23,439.56
32,166,3090.7400000000002
40,60,992.5
94,10,134.95999999999998
56,128,2225.37
73,4,111.123
279,29,623.4
334,14,308.28000000000003
334,39,754.87
112,23,378.64
83,158,3312.25
111,37,778.65
122,53,1019.76
49,97,572.56
54,172,3639.31
303,15,222.99
53,152,4151.93
334,35,534.57
154,35,677.1
34,51,797.96
97,13,544.08
226,4,111.123
25,155,2520.02
208,21,307.72
52,43,1360.99
95,38,1544.13
215,26,457.34
150,39,621.23
40,4,111.123
25,11,252.49
97,27,572.451
25,308,5764.091499999983
47,28,1003.06
130,18,213.55
156,24,1390.5
66,19,712.5
27,28,640.83
34,304,5764.091499999983
86,16,221.06
172,8,159.85
63,102,1833.71
87,127,2626.3
131,78,1624.21
25,157,3641.32
42,29,582.6
33,71,201.78
33,67,1006.8
41,49,679.45
90,46,1269.1
97,10,534.24
28,101,3809.8900000000003
25,12,196.89
37,167,3408.06
278,54,283.71
114,13,296.64
46,59,1129.14
39,194,3534.69
46,19,291.88
49,71,2043.7199999999998
49,308,2898.2599999999998
282,4,590.0
188,17,356.97999999999996
47,46,1058.34
40,63,1766.72
30,308,5764.091499999983
52,17,183.44
61,27,1445.0
275,9,151.5
81,41,674.68
207,17,307.9
33,98,1071.91
25,302,5704.97
122,10,165.0
25,254,2501.84
83,21,422.64
259,62,226.84
214,86,1431.78
201,58,1238.47
60,79,1454.58
223,15,300.95
68,109,1804.56
255,11,184.64
88,10,140.34
264,8,313.8
256,23,454.24
101,69,1122.41
80,34,575.4
40,308,5764.091499999983
128,14,449.52
74,86,1215.82
159,50,1269.84
298,6,498.63
334,18,316.26000000000005
30,48,2044.8700000000001
33,35,653.33
305,19,348.05
40,42,1159.11
46,65,1166.77
311,52,1340.32
39,18,292.0
94,17,216.85
87,22,295.93
95,211,3633.63
334,26,458.52
26,162,2479.16
266,12,111.123
31,43,964.72
25,115,1791.56
283,15,251.21
149,10,205.1
96,4,152.20000000000002
95,59,891.12
44,44,1389.41
82,141,2128.42
108,36,627.16
101,8,122.75
81,87,2984.35
25,308,1071.73
53,5,125.80000000000001
56,172,3964.88
63,27,680.1800000000001
37,6,628.78
56,217,2242.36
101,15,307.76
228,22,483.8
56,66,210.31
205,75,269.09
25,296,5764.091499999983
25,178,3444.39
66,25,1280.85
108,37,631.34
62,78,276.06
35,97,621.09
119,123,678.16
48,51,918.2
334,4,111.123
89,109,3740.07
96,135,4098.88
51,34,584.06
28,169,594.52
30,32,171.42000000000002
238,14,141.85999999999999
104,82,1799.33
107,49,777.53
167,81,1724.67
42,38,240.22
63,169,856.84
196,43,187.05
40,79,338.62
266,27,239.49
35,308,2088.94
228,33,1384.25
73,25,290.25
46,46,732.0699999999999
33,126,5764.091499999983
48,83,1687.6000000000001
37,23,467.04
332,10,118.0
178,53,781.03
329,24,142.4
86,8,712.4
38,174,2478.95
37,21,379.65
34,87,1981.92
87,58,1117.13
58,16,247.95999999999998
131,127,2011.88
75,26,396.97
28,146,664.11
70,35,160.04
25,246,5149.92
334,19,219.52
68,99,693.32
87,23,428.89
49,27,164.34
52,40,276.75
63,97,675.51
35,215,1082.33
112,72,1154.4
47,195,1585.46
334,23,417.69
63,44,544.18
196,13,177.34
139,19,213.85
53,78,727.74
275,19,257.23
82,92,1638.47
46,59,5764.091499999983
28,71,2031.78
122,11,3070.42
47,145,2118.93
56,186,1547.3600000000001
90,62,1071.03
59,63,949.12
75,99,804.3
38,8,122.64
97,40,1033.34
238,57,312.28
54,28,519.44
39,146,2624.26
143,5,252.1
32,78,1648.1200000000001
279,23,346.6
39,96,1836.34
58,6,111.123
68,63,1095.08
66,166,2707.33
137,56,932.97
187,49,379.65
33,16,382.14
32,108,2639.17
228,103,1563.0
108,52,881.26
202,13,189.47
83,12,111.123
172,83,299.05
25,308,5764.091499999983
73,9,218.55
98,25,349.7
324,6,186.39000000000001
41,60,387.44
174,25,486.82000000000005
174,16,232.6
25,194,3719.12
40,57,827.83
210,4,111.123
308,29,111.123
25,39,3119.44
205,8,111.123
86,6,910.0
82,9,172.25
47,53,1488.32
26,308,5764.091499999983
54,90,2504.13
61,12,151.29999999999998
178,14,308.58000000000004
49,194,2248.63
334,4,111.123
28,134,2308.06
30,28,711.86
325,20,330.79
290,48,806.41
294,49,285.33
26,308,5764.091499999983
54,8,180.48
241,13,252.06
269,10,228.84
304,104,1077.39
292,21,138.28
55,102,1445.01
269,12,306.55
38,60,1041.68
139,43,799.9
59,28,524.14
154,85,2375.41
240,6,199.85000000000002
72,104,1980.56
61,42,1079.6599999999999
51,20,333.48
59,63,1016.14
158,43,752.6
242,38,610.59
51,33,491.86
47,195,2883.54
28,190,729.8
223,30,339.59999999999997
41,4,216.9
263,23,350.75
94,34,668.4300000000001
39,308,3107.87
25,41,1341.6
118,63,1080.52
185,25,300.04
334,4,111.123
118,28,948.25
76,24,1647.26
311,9,296.25
147,75,1175.38
310,35,741.26
174,12,282.59999999999997
26,308,2108.06
25,142,5189.52
34,117,3190.55
56,25,659.4100000000001
77,57,286.79
73,70,1070.65
241,7,306.72
86,15,1714.96
93,207,1519.42
25,308,5764.091499999983
25,135,2796.51
87,119,2634.45
56,173,1122.63
104,22,345.0
25,197,5764.091499999983
126,9,178.7
30,57,360.01
273,17,127.84
35,113,908.86
32,31,2462.79
334,7,230.39999999999998
98,31,309.04
27,45,348.8
150,11,1516.0
89,13,195.55
25,308,5764.091499999983
139,39,688.86
332,33,558.32
89,23,324.8
161,60,4599.42
278,17,277.07
53,135,2588.39
75,13,924.6
86,10,256.38
334,7,112.6
28,76,1747.66
328,12,155.05
51,33,1427.01
206,11,742.5
65,33,485.0
62,65,1168.8600000000001
115,57,1579.12
45,173,3667.36
46,26,499.67
52,22,328.98
324,36,1140.35
167,59,385.64
28,96,632.0
41,40,957.66
55,46,1698.94
199,10,189.5
80,92,409.8
45,15,209.49
39,72,2198.45
42,4,111.123
182,28,383.85
48,55,834.57
234,18,266.59000000000003
28,165,674.82
275,4,111.123
81,206,3385.62
34,20,361.62
87,9,312.98
47,55,865.0600000000001
115,5,1255.0
74,101,1537.95
152,93,1595.48
118,81,2651.46
80,23,1090.14
31,110,5764.091499999983
191,14,388.5
80,11,216.17
334,28,201.16
25,76,1245.9
41,139,2209.36
270,20,305.78
81,30,501.56
97,7,145.67000000000002
54,60,1005.09
30,33,3192.54
146,304,3083.65
25,115,2770.94
45,308,5764.091499999983
142,23,389.6
334,18,540.45
76,104,1786.79
86,7,122.7
109,4,117.24
77,35,1271.57
44,165,3219.77
26,178,5764.091499999983
25,65,1191.13
33,142,2674.48
30,59,787.6
212,28,506.8
94,16,243.56
227,19,349.55
142,39,595.67
115,15,416.90000000000003
25,110,1883.8100000000002
49,27,632.97
320,21,821.1
46,27,564.62
51,118,2593.07
73,17,311.16
334,12,155.93
39,19,388.52
206,43,740.95
95,149,2867.2
60,26,332.64
102,122,2369.55
80,148,2580.91
34,33,626.45
72,18,272.04
72,30,1212.8400000000001
82,26,348.81
334,7,172.25
76,20,351.13
25,117,1838.8500000000001
115,41,678.25
46,11,223.85000000000002
97,21,348.99
33,27,464.57
192,9,842.65
80,17,337.34
118,58,1237.53
317,16,307.4
132,23,608.7900000000001
286,31,922.1
202,26,376.58
192,9,158.85
58,7,111.123
46,45,568.55
40,49,839.14
44,45,5112.96
102,11,561.5699999999999
88,5,111.123
334,4,111.123
25,160,2427.32
34,35,745.06
199,39,674.45
240,137,3251.071
30,20,3515.68
25,25,439.92
177,33,322.96
28,147,1019.27
102,90,594.04
44,12,230.22
44,11,169.55
331,35,664.54
168,4,111.123
30,308,5764.091499999983
41,149,2758.26
93,15,190.25
310,11,264.7
72,28,413.59000000000003
54,308,2461.2400000000002
229,10,357.98
37,15,196.79000000000002
96,54,869.87
83,11,200.14
62,111,1871.81
52,107,2603.43
49,16,920.51
27,308,5764.091499999983
40,13,320.46
42,234,4147.96
88,41,1266.08
236,16,311.3
35,82,852.88
53,5,111.123
65,121,3466.36
26,148,2274.14
38,86,1393.69
33,208,3901.81
234,15,635.66
68,39,2043.0800000000002
157,47,529.73
66,171,4582.64
32,84,2874.72
138,30,962.19
221,42,695.61
300,11,328.8
133,34,473.02
100,39,505.18
75,20,917.34
184,161,4341.21
69,66,1421.61
39,39,642.8
178,22,631.9
248,28,440.0
30,31,584.07
144,16,327.7
83,6,111.123
86,15,467.66
41,242,2358.84
30,250,5764.091499999983
25,143,2975.59
45,86,648.89
51,66,1428.02
307,38,626.65
199,28,147.20000000000002
101,92,1560.38
56,6,152.2
63,229,3560.32
289,21,141.41
49,206,646.42
132,6,1659.75
307,14,154.99
31,32,1308.6100000000001
328,85,409.93
39,308,5578.72
54,54,746.36
25,210,5764.091499999983
42,56,225.36
147,4,260.25
88,6,111.123
129,10,725.6400000000001
25,308,5764.091499999983
46,283,5764.091499999983
289,8,183.6
27,202,5764.091499999983
32,111,5764.091499999983
52,77,1334.34
289,7,152.55
86,52,374.7
334,24,265.85
26,308,1437.57
55,13,151.04
27,43,942.26
152,44,118.67
63,42,499.41999999999996
124,65,1049.37
147,12,375.1
55,4,111.123
325,150,921.62
334,29,182.25
27,177,1002.9
25,308,4421.29
25,68,191.47
33,308,5764.091499999983
79,13,158.75
334,4,111.123
30,214,4076.91
35,100,433.86
27,308,5764.091499999983
59,21,147.35
39,250,3104.17
160,25,191.95000000000002
96,35,5764.091499999983
28,58,1105.8799999999999
177,21,216.20999999999998
262,74,1266.23
74,123,2703.23
53,34,597.91
95,9,144.2
26,155,5683.15
37,10,692.85
45,160,2915.15
26,34,1840.42
296,15,386.53
42,72,1382.74
166,4,111.123
26,159,2780.15
107,5,419.58000000000004
33,166,2720.63
30,15,706.1300000000001
145,44,709.71
83,46,637.5
25,52,1123.8600000000001
334,66,480.91
25,200,3586.0299999999997
152,28,605.64
25,134,4690.31
25,46,965.8800000000001
69,26,415.82
26,66,935.05
25,40,915.13
334,22,311.81
156,7,115.8
69,11,3742.2
31,210,4191.0
101,5,483.4
256,4,157.2
243,28,446.62
58,26,658.64
98,49,621.29
262,52,1345.62
289,6,118.75
32,308,5764.091499999983
42,46,424.89000000000004
63,41,507.66
42,308,4630.35
238,104,1097.6200000000001
196,25,289.36
110,52,2445.91
93,29,1631.77
298,24,120.44
62,50,562.59
121,58,363.79
33,29,450.84
56,26,134.46
82,149,3222.3
320,31,576.9000000000001
109,41,549.46
31,308,1600.26
63,157,701.57
33,240,4748.52
89,24,452.89
334,4,197.65
53,65,2054.36
25,265,4654.08
25,259,4684.76
90,42,853.39
27,308,5764.091499999983
224,7,1012.0
129,6,335.52
41,39,701.4
241,4,185.39999999999998
83,37,747.44
25,39,150.61
39,24,466.7
262,20,328.15999999999997
117,10,151.74
33,87,2073.43
128,102,1905.8400000000001
76,112,2241.1
112,9,1070.48
53,67,1004.38
34,108,1789.72
26,59,1839.3
25,100,2004.98
65,12,169.48000000000002
27,7,111.123
270,21,632.4
65,193,3432.8
200,41,683.17
115,60,991.13
133,113,1009.73
51,66,2214.79
49,175,3350.96
74,40,1547.2
206,50,925.71
65,115,2048.07
72,35,1462.72
45,147,754.12
98,79,3144.86
103,15,490.86
334,9,161.0
334,8,146.85
66,112,2380.85
53,42,890.34
206,10,213.70000000000002
257,16,280.55
31,141,2588.77
242,108,1693.45
133,75,1474.06
301,20,136.76999999999998
334,8,302.58
30,111,1904.05
25,78,2879.7000000000003
283,53,969.0600000000001
87,106,3099.7200000000003
32,111,5764.091499999983
164,5,120.0
73,52,1163.45
31,143,2618.23
177,17,333.97
132,31,530.18
185,55,1516.24
334,29,492.65000000000003
248,10,112.32
96,33,437.96
74,29,559.97
