Recency_of_Purchase,Frequency_of_Purchases,Amount_Spent
121,64,1119.74
38,221,4152.0
219,8,134.04
26,154,3701.44
53,32,595.25
44,27,1910.01
46,280,4628.75
31,9,176.63
236,16,426.6
31,47,911.26
34,101,2314.65
25,237,3883.25
30,100,4871.93
26,61,1046.56
63,5,166.20000000000002
40,62,1305.33
31,308,5764.091499999983
31,143,3965.62
41,4,111.123
140,13,640.14
245,17,383.45
94,105,1858.96
74,33,2093.32
111,180,2995.72
31,117,2352.53
265,20,310.26
69,87,1611.59
129,8,120.0
67,101,2481.13
87,24,508.58000000000004
229,31,477.79
33,123,1530.75
137,36,605.0600000000001
265,8,183.85
186,12,311.65
40,258,4975.24
147,28,462.65999999999997
45,25,840.21
90,15,415.2
39,162,2552.21
39,60,454.86
39,90,1614.91
184,31,588.22
265,14,309.52
241,6,134.7
68,128,2166.98
44,21,668.5600000000001
150,71,889.9300000000001
61,6,111.123
143,60,1021.58
283,18,409.57
33,31,133.5
297,18,282.93
187,4,111.123
180,47,1078.96
238,6,111.123
28,9,163.62
334,11,174.4
102,33,701.23
66,40,225.12
42,55,912.18
54,117,2118.03
45,37,151.5
131,69,3717.35
31,308,5764.091499999983
334,8,155.0
318,4,111.123
334,4,111.123
208,66,235.56
214,11,617.05
67,46,348.1
75,56,202.68
49,126,615.49
61,59,1247.69
32,14,202.11
319,7,142.4
55,139,1727.6
33,186,3212.84
88,45,1043.46
33,284,4642.57
241,5,111.123
25,308,3479.91
88,73,487.99
25,87,2612.96
172,25,574.7
27,182,4051.48
153,20,1475.81
56,100,1449.32
142,8,156.75
130,72,2142.73
33,106,2599.03
94,54,2059.4500000000003
115,189,1100.27
333,14,1063.0
65,43,770.03
334,22,121.05
114,97,1496.98
25,308,5764.091499999983
45,14,490.22
26,124,1937.25
33,202,1051.79
122,29,387.52
80,27,813.11
25,222,4263.64
241,4,265.2
40,4,322.08
46,224,4481.67
73,17,363.34000000000003
30,137,1224.06
325,17,470.36
32,308,2248.5
44,12,1372.8
121,9,111.123
334,5,111.123
329,9,131.9
334,32,2661.24
31,55,2357.6800000000003
25,51,1712.89
227,63,1589.82
76,93,1420.2
25,277,1010.35
41,70,1163.23
32,20,375.35
41,250,885.8
203,40,483.25
83,105,643.9
33,60,259.05
213,22,119.93
28,308,3017.28
333,4,113.64
178,37,1837.92
133,16,434.34
171,180,2103.06
89,233,1980.57
121,6,529.62
269,123,1038.44
52,72,2272.4
40,89,596.26
34,43,461.19
126,265,1852.67
97,7,234.34000000000003
69,29,547.66
94,42,925.85
280,17,193.0
42,10,1309.6
276,18,316.25
34,13,279.05
187,30,636.51
41,137,2022.81
304,9,137.1
73,14,321.92
61,46,162.8
49,140,1165.48
90,46,1064.28
230,30,463.38
198,17,340.93
30,120,2383.2400000000002
48,7,139.56
73,6,123.8
334,19,538.8100000000001
332,29,475.37
65,193,1957.32
49,190,808.44
111,7,356.85
206,10,251.21
42,308,2429.83
26,164,3543.26
70,107,673.26
40,308,5764.091499999983
40,295,1960.65
46,95,1367.88
45,55,268.05
34,68,1314.81
210,23,275.28
123,12,455.59000000000003
84,69,990.2
40,98,2076.89
56,18,330.45
87,16,174.37
25,4,270.6
47,17,974.54
131,12,241.09
54,197,1843.83
42,282,4215.9
25,308,5764.091499999983
60,18,364.21999999999997
83,213,578.61
48,213,2862.11
259,64,932.85
47,62,1949.72
25,308,4397.3
83,308,2854.84
282,18,170.95
80,10,355.56
87,19,388.25
38,32,537.48
32,71,952.66
81,105,1453.35
208,5,111.123
51,70,3594.73
47,111,2004.3
28,308,2573.93
26,308,3974.75
173,4,652.8
334,56,289.24
33,47,757.37
41,10,186.23
174,57,164.22
42,113,859.27
33,203,2279.4900000000002
80,19,312.54
108,16,788.38
30,74,2237.77
98,69,1080.76
26,308,5006.77
118,127,3099.12
133,4,1432.0
79,33,1530.3600000000001
25,12,227.39
303,29,218.06
26,262,2804.54
202,227,1639.82
334,4,111.123
35,123,859.71
26,24,168.63
39,17,138.6
63,6,114.11
28,302,986.96
192,98,1033.06
73,29,157.05
299,19,237.36
41,308,1580.29
334,4,111.123
38,176,1320.21
58,158,557.94
44,151,617.15
30,52,363.33
42,102,1740.6
34,47,866.24
67,50,221.97
328,25,393.33000000000004
33,7,213.96
297,4,660.0
25,308,5764.091499999983
38,81,5764.091499999983
27,20,1785.15
95,4,601.56
265,4,406.08000000000004
32,16,553.44
268,20,394.44
228,26,412.78000000000003
25,92,1788.3600000000001
207,21,320.58000000000004
55,133,886.7
80,13,225.85
219,53,899.63
46,122,2791.27
114,24,671.96
27,150,955.26
73,41,1006.98
285,8,114.56
289,20,344.90000000000003
59,28,609.85
73,16,443.6
75,172,2984.49
47,105,2107.38
44,7,111.123
81,4,111.123
193,31,693.8100000000001
90,26,830.76
179,30,597.09
25,308,5764.091499999983
224,28,236.04000000000002
27,186,1402.59
90,101,653.75
100,29,114.18
25,234,1926.65
31,49,1932.23
192,80,291.05
40,126,848.22
28,29,247.15
31,253,2529.93
109,30,285.74
49,4,111.123
51,157,741.37
42,98,636.24
83,90,1835.7
47,14,195.25
33,308,5764.091499999983
264,166,1259.24
303,123,392.86
257,61,765.55
26,74,1736.4
39,97,596.36
54,42,2548.2400000000002
48,258,5764.091499999983
94,7,498.95
210,4,111.123
48,308,1201.51
129,15,628.38
30,308,5579.1
231,13,112.8
67,48,355.05
53,71,2114.33
160,68,591.55
287,8,172.9
27,130,2078.95
241,22,188.60999999999999
25,200,1217.27
237,8,111.123
55,112,2195.1
33,308,2526.09
25,308,3251.79
37,22,318.17
34,308,1493.96
221,4,179.0
25,28,1126.37
38,196,4921.04
37,136,599.48
33,308,2839.62
52,25,917.07
32,308,2662.2
47,10,160.19
47,71,867.38
66,51,307.51
25,235,1581.84
28,37,663.81
170,28,180.42000000000002
33,259,1122.3600000000001
47,47,655.58
297,10,268.58
334,71,313.49
25,308,1897.57
70,45,380.02
31,147,2702.4900000000002
39,202,5764.091499999983
26,193,5764.091499999983
26,17,1164.55
65,54,1314.45
27,60,3902.28
220,89,1448.21
34,59,1400.34
39,26,1099.98
135,69,1220.26
272,18,328.2
52,89,1415.75
66,5,389.64
110,30,563.15
67,41,638.05
32,235,5010.28
38,38,738.96
98,19,420.5
167,71,1484.06
27,102,1625.97
320,5,111.123
81,11,255.9
286,21,300.52
69,6,278.3
52,39,254.11
31,135,2473.37
40,5,192.60000000000002
25,308,5764.091499999983
255,52,876.42
135,9,139.26
81,60,1011.9
74,117,2538.3
150,35,730.86
303,41,386.15
77,27,447.68
334,6,200.10000000000002
49,15,289.99
33,4,111.123
30,30,679.4399999999999
51,6,197.64
39,46,745.06
86,4,111.123
44,14,228.99
25,80,1319.91
189,6,131.45000000000002
25,308,5764.091499999983
75,12,173.74
74,13,157.7
70,308,4331.79
84,57,189.34
185,44,845.55
31,12,353.27
38,46,546.4
98,11,193.39000000000001
62,231,2718.6
63,254,2085.33
334,29,152.88
59,53,778.5
220,4,271.85
223,63,1110.34
96,48,657.8
87,13,272.07
44,29,507.29
334,4,111.123
203,70,321.43
33,29,1127.71
26,120,2221.01
219,17,2139.76
52,42,697.55
76,39,188.88
40,67,1720.3
33,6,111.123
112,108,1649.5
290,4,111.123
76,138,3295.76
66,145,2824.69
86,130,3189.81
171,13,309.4
44,308,5764.091499999983
334,21,325.75
46,28,511.35
81,143,2836.69
47,9,475.8
101,126,2740.03
142,20,645.65
59,65,1290.53
82,60,1173.12
35,58,1353.74
42,11,170.32
75,6,125.79
48,48,841.1999999999999
52,11,266.76
30,4,111.123
33,98,5764.091499999983
208,36,710.28
26,144,2953.59
31,70,721.45
284,13,327.25
26,93,501.28000000000003
233,28,519.68
130,47,1465.3200000000002
35,122,1476.09
100,46,690.59
42,17,255.4
49,11,589.7
41,53,761.59
154,15,765.3199999999999
275,18,364.8
102,6,1862.0
230,20,369.2
334,10,135.9
276,7,125.65
171,33,554.38
32,73,1237.8500000000001
108,23,655.75
30,308,5764.091499999983
227,43,468.77000000000004
30,55,1366.38
46,109,1269.31
34,96,1421.29
48,20,332.66
44,308,2795.33
25,69,1025.44
180,17,616.15
26,165,3501.1
97,9,277.8
25,30,434.35
25,308,5764.091499999983
39,27,867.85
58,87,1227.43
114,12,307.48
93,77,1268.98
138,45,1610.15
235,57,977.77
53,78,1316.07
73,44,749.1
268,10,310.05
55,11,223.88
131,127,2362.96
27,41,1257.68
334,17,363.53
104,87,1890.94
320,10,1784.71
56,308,5764.091499999983
79,34,1621.88
52,170,5764.091499999983
37,4,111.123
95,14,290.82
46,63,1101.97
42,19,371.2
102,20,311.69
82,138,5764.091499999983
48,54,285.67
35,77,294.85
276,12,111.123
170,41,483.72999999999996
87,59,695.42
31,27,221.27
33,308,5764.091499999983
293,5,126.7
32,192,1472.34
270,13,206.21
119,81,596.09
37,36,183.02
72,6,463.8
53,37,147.59
91,34,1592.06
58,155,1097.98
151,18,114.77
130,32,1314.45
60,17,111.123
80,11,279.94
80,71,775.86
95,214,1921.3700000000001
269,8,111.123
42,39,202.37
221,83,292.01
38,4,326.4
234,40,334.54
61,60,231.98000000000002
69,26,546.1999999999999
193,74,414.87
70,77,490.52
138,115,1641.76
170,154,1220.77
38,308,5764.091499999983
74,132,480.38
182,12,156.91
35,180,1259.43
58,20,308.94
76,122,405.04
66,33,257.67
195,20,170.04
56,20,125.58
61,31,496.21000000000004
289,66,252.81
31,308,1871.77
34,121,852.39
26,308,5764.091499999983
32,152,1636.43
56,67,361.96
103,61,469.0
53,35,1066.1499999999999
31,48,627.13
94,7,518.28
27,110,653.19
279,52,4959.1
27,308,2557.18
38,308,4274.16
112,27,252.73000000000002
95,119,429.56
81,125,685.74
32,308,5764.091499999983
193,66,179.93
222,5,135.93
54,4,537.0
42,308,5764.091499999983
174,12,735.66
32,201,5090.42
292,22,343.62
88,94,381.0
296,4,121.17000000000002
48,76,1737.69
46,142,1383.3600000000001
334,28,207.73000000000002
27,69,693.95
35,114,302.1
298,25,1489.5
48,266,2102.54
63,237,1337.72
31,115,294.25
26,308,5764.091499999983
94,57,987.86
236,5,370.79999999999995
60,155,3158.13
76,42,893.59
101,82,1744.76
69,104,553.36
202,70,1109.53
334,4,111.123
116,26,982.07
32,54,1043.41
128,41,735.67
100,27,773.03
195,49,880.85
30,308,5764.091499999983
235,47,895.61
45,33,504.8
279,5,111.123
304,15,306.94
44,57,1160.07
33,145,2420.84
331,23,381.32
90,30,480.71
238,26,457.81
41,108,4597.02
126,47,1370.6
65,11,219.39000000000001
27,25,248.08
205,4,5764.091499999983
107,23,410.48
334,4,876.0
31,8,317.53
54,35,703.36
219,67,993.54
41,101,2298.93
40,100,1422.52
334,16,319.5
164,57,1159.25
268,28,484.95
46,35,996.1
52,84,1567.48
32,97,3509.43
53,197,2760.56
41,21,340.11
40,45,1352.75
37,79,1551.78
157,4,244.8
268,14,266.4
156,21,358.82
73,28,457.72
137,82,1633.78
30,106,2199.31
45,15,184.19
48,127,5764.091499999983
88,16,406.53
83,102,1471.0
73,84,3447.4
192,22,330.11
41,52,977.9300000000001
150,29,982.42
37,73,1387.99
262,9,139.05
25,68,1286.7
262,13,178.96
75,80,2354.25
69,26,498.74
248,14,259.45
31,217,5764.091499999983
27,67,1194.73
187,91,1327.16
263,28,623.5
33,20,301.29
156,23,520.8000000000001
40,308,5291.33
32,271,4745.69
54,22,329.25
98,71,254.28
25,55,961.49
26,125,1936.07
68,7,401.40000000000003
25,308,5764.091499999983
334,4,158.16
41,29,304.47
91,101,824.58
334,27,487.75
334,39,158.8
48,5,111.123
334,5,1289.5
31,110,1624.05
334,11,135.75
94,23,224.14
283,4,111.123
41,93,2206.95
334,6,111.123
89,16,689.4799999999999
177,29,622.85
52,62,402.2
93,21,310.62
37,19,411.41
25,90,4762.18
25,212,5764.091499999983
142,51,1044.32
83,19,499.32
26,308,5764.091499999983
25,4,3861.0
33,32,1079.6100000000001
115,10,193.64
82,13,1268.7
110,69,1236.54
48,142,1827.8
334,9,316.58
108,37,653.24
33,9,420.29999999999995
25,42,870.12
248,20,331.18
83,52,894.4100000000001
264,5,111.123
334,24,328.35
25,110,1661.44
69,35,734.94
110,4,111.123
33,166,5756.89
199,9,305.75
74,117,1778.96
334,5,403.25
334,5,585.0
248,20,755.75
334,14,322.08
257,23,409.40000000000003
333,8,154.41
59,58,1219.4
89,125,3386.71
262,23,429.6
136,31,612.06
299,14,197.0
240,143,2247.51
321,15,321.05
25,99,1412.32
52,50,1071.99
33,49,780.59
67,78,1706.57
89,110,1756.44
97,22,316.68
88,34,631.57
157,89,2515.84
261,33,514.15
145,6,356.0
54,308,5764.091499999983
32,111,5764.091499999983
59,44,740.78
39,53,918.1999999999999
150,18,300.36
89,47,890.85
171,6,111.123
306,7,317.15
191,34,623.16
123,77,1810.77
158,19,254.82
334,10,178.95000000000002
129,12,156.51
87,23,393.74
174,82,1506.1200000000001
334,6,119.3
45,11,1717.36
46,4,408.8
38,41,2379.49
30,264,2493.34
80,63,721.94
27,47,716.57
60,41,615.14
89,49,128.63
69,12,255.89999999999998
334,19,290.51
195,16,113.12
81,139,2332.15
72,4,240.55
45,20,486.69
66,88,2306.52
52,58,939.78
27,204,5764.091499999983
48,103,4668.3
224,24,178.39
73,194,3672.86
33,39,641.94
25,192,4799.9
90,7,4507.01
87,28,496.44
73,242,5049.95
313,31,574.02
83,23,694.4000000000001
87,58,1174.35
118,12,205.3
297,19,310.47
25,308,5764.091499999983
98,47,924.85
133,4,111.123
222,24,327.97
87,37,570.5
334,4,165.0
26,33,312.62
306,16,204.5
67,36,267.13
93,95,2748.31
108,42,679.68
126,48,161.74
334,29,311.71
75,10,208.75
62,57,1049.7
55,13,714.96
334,35,1661.06
231,16,1028.56
179,98,350.82
76,35,170.22
89,86,574.07
103,17,2020.52
152,24,406.09
110,21,364.5
25,26,563.94
68,20,393.54
334,17,252.42000000000002
334,5,201.60000000000002
95,9,158.04
181,71,463.90999999999997
334,5,115.65
35,219,1934.66
277,61,770.12
52,14,277.05
54,308,2718.03
27,308,5764.091499999983
62,13,427.93
334,7,418.92
334,16,326.0
118,29,913.19
48,114,2314.32
98,44,602.51
80,95,1877.59
44,4,446.94000000000005
63,94,2386.05
160,27,2007.3999999999999
31,132,2415.91
151,4,168.0
63,116,1221.56
192,194,3703.29
31,36,1690.2600000000002
236,8,596.85
37,302,5764.091499999983
192,41,642.41
63,12,316.88
209,31,394.14
293,10,140.54
195,4,500.0
27,84,1535.53
39,12,231.86
32,85,2183.54
334,7,111.123
135,14,288.18
312,6,111.123
39,73,1345.53
25,50,815.77
115,12,716.2
171,42,626.77
212,8,349.1
54,53,510.71000000000004
56,148,1046.74
287,34,267.18
107,122,3450.84
49,98,1348.93
194,10,190.53
32,39,774.9000000000001
334,47,559.61
87,192,3984.32
108,28,508.8
47,8,135.86
81,53,950.36
334,6,111.123
61,4,111.123
277,17,383.34
42,275,1404.07
56,292,1430.54
38,6,111.123
49,82,397.35
46,10,171.19
236,41,533.3
31,55,1041.48
45,29,149.29
35,291,1067.75
285,45,200.16
154,25,156.57999999999998
77,62,383.68
271,4,594.0
25,308,3213.59
32,214,1411.21
287,5,113.5
334,9,155.17
334,28,494.64
49,60,974.52
53,30,429.84
52,56,528.48
25,279,1371.77
334,25,179.1
306,58,434.59000000000003
285,58,237.07
48,7,161.64
334,56,214.26
117,11,234.6
52,7,126.14
334,155,1044.65
42,97,5764.091499999983
108,57,334.53
32,52,524.88
74,24,467.51
73,24,538.55
25,73,454.48
136,76,371.56
37,11,1771.2
100,29,454.10999999999996
63,44,1399.92
139,45,905.5
38,97,5764.091499999983
184,84,225.26
25,187,3590.41
53,85,2564.5
115,4,111.123
45,50,1134.28
118,154,3100.09
51,35,659.4599999999999
55,289,1953.41
44,122,1280.58
40,15,1262.2
25,308,5764.091499999983
31,68,1131.56
38,213,5764.091499999983
334,66,141.04
104,13,111.123
75,97,3610.96
45,161,972.08
194,45,475.86
212,92,1000.27
334,4,250.0
34,158,900.53
178,7,121.0
56,308,5764.091499999983
35,166,4023.7200000000003
67,15,111.123
256,27,267.03
87,210,1921.55
25,18,343.5
63,185,3000.2
55,56,397.99
107,10,412.01000000000005
47,4,440.0
25,156,734.37
56,4,148.44
41,162,2428.53
277,26,229.33
45,308,3962.6
44,107,1497.31
31,219,1972.39
48,251,1564.73
42,83,807.57
196,72,502.9
186,24,111.123
30,41,538.46
34,15,213.3
137,29,111.123
311,28,127.86
32,259,3546.71
77,80,288.96999999999997
30,308,4910.6
100,114,1681.46
27,61,575.63
59,29,436.06
240,17,111.123
83,55,428.93
300,14,217.2
35,308,4794.86
47,31,279.77
51,19,468.91
34,27,800.59
334,4,134.55
45,113,1400.44
73,8,173.16
41,7,186.01
25,53,758.29
126,31,1375.71
30,308,4148.82
34,57,650.4300000000001
27,212,2533.42
54,97,591.1899999999999
200,152,675.64
60,43,921.37
174,39,258.88
185,13,127.1
91,48,327.6
143,146,3675.77
47,44,682.9100000000001
46,122,720.86
199,31,455.3
73,9,913.6800000000001
278,29,478.53000000000003
69,24,388.58
93,5,199.8
38,103,1771.78
123,77,1406.59
58,22,324.57
76,14,240.68
49,52,761.74
34,308,5764.091499999983
31,46,1297.8700000000001
101,4,111.123
75,17,216.39
59,67,1198.23
84,77,2920.16
334,13,111.123
51,60,1093.68
207,16,298.48
74,6,112.46000000000001
32,41,1570.45
59,6,195.15
33,308,5764.091499999983
55,45,776.851
33,4,336.40000000000003
79,100,1553.18
27,16,1293.03
66,185,3709.56
164,19,301.03
139,34,588.13
126,64,1534.26
97,49,675.8
27,155,2870.2400000000002
68,60,1186.35
38,167,3285.31
40,15,243.55
112,25,724.76
75,15,223.36
157,25,425.32
27,308,5764.091499999983
128,119,1887.2
214,33,664.0
189,232,803.54
41,52,612.01
180,35,447.64000000000004
227,24,639.5
334,4,816.0
59,32,646.3
114,21,337.74
115,6,877.4399999999999
32,21,922.53
266,34,560.67
68,47,748.5
45,4,111.123
213,48,1024.1000000000001
66,11,306.45
48,90,1600.86
334,5,309.8
129,9,138.14
73,17,386.43
191,115,2222.21
62,13,301.32
240,4,111.123
63,33,684.34
319,12,173.05
41,78,2657.13
111,138,2726.23
96,114,2446.6
104,21,323.69
41,202,3435.76
72,33,657.23
75,12,352.7
47,110,781.28
32,78,1333.68
48,53,1426.16
140,10,193.75
31,166,2993.1
142,9,254.1
27,19,239.76
275,4,136.8
51,12,191.04
25,77,5764.091499999983
289,22,409.98
56,168,2711.11
40,18,309.65
195,86,696.68
25,230,1529.0
287,5,211.5
163,117,2293.62
224,6,143.1
86,55,1060.56
58,205,916.98
63,273,3235.25
306,6,133.25
32,53,1072.3600000000001
166,19,356.7
34,34,330.03000000000003
168,117,1101.1100000000001
257,7,150.3
55,308,5030.07
47,128,598.73
34,84,471.40000000000003
58,67,2211.21
334,38,190.7
224,11,218.25
38,32,415.25
39,301,5159.06
235,5,111.123
88,70,1120.88
235,14,294.12
305,10,162.3
137,26,1339.45
37,71,1188.1200000000001
41,173,4812.42
89,8,449.12
72,9,154.88
39,86,775.96
100,4,111.123
42,62,1094.59
157,28,196.88
35,90,946.64
63,20,144.36
258,10,5764.091499999983
25,291,2463.05
62,308,2626.6
327,4,111.123
74,28,458.57
33,141,2364.25
84,191,528.01
88,45,714.42
47,9,205.25
241,7,253.04
88,37,583.75
54,61,1086.92
111,180,3279.97
87,11,315.06
138,27,621.8299999999999
30,130,5764.091499999983
28,10,635.6800000000001
91,25,270.8
268,7,111.123
156,18,241.62
264,21,1047.11
206,29,475.28000000000003
48,20,345.46
32,43,2614.7400000000002
33,14,246.3
55,83,2328.9700000000003
69,266,4919.0
49,200,933.26
334,25,351.3
33,34,218.75
66,75,1612.69
37,12,965.61
172,42,610.01
25,132,2708.61
136,8,2207.4
98,98,884.14
130,117,696.89
69,64,1063.95
165,4,451.42
74,8,415.82000000000005
25,262,4206.39
46,299,5488.18
69,31,784.58
73,48,903.9
329,195,3651.27
59,35,515.77
101,89,1391.98
45,133,2218.62
130,41,1801.14
230,40,1303.9099999999999
39,72,1945.33
86,49,2100.6
72,123,1905.45
334,17,206.98
67,62,570.96
26,33,885.47
334,4,111.123
195,20,532.94
79,68,1654.31
96,115,1836.0900000000001
122,51,636.14
60,39,576.0
81,66,794.64
277,54,836.79
93,269,2225.15
67,50,954.09
73,10,137.37
87,24,391.98
34,167,5764.091499999983
56,62,1048.49
81,27,355.56
95,47,1224.06
326,8,118.95000000000002
69,11,130.73999999999998
40,138,3711.77
61,22,389.27
42,93,234.88
209,22,160.71
74,30,111.123
27,138,2969.12
159,80,712.24
27,308,5764.091499999983
41,14,297.0
38,188,1427.57
63,139,965.16
35,308,3146.92
31,147,832.88
48,18,111.123
45,20,1936.3200000000002
63,40,895.13
124,43,211.89
28,308,3810.14
300,15,149.64
55,74,351.44
37,108,316.25
86,120,4405.88
25,126,490.33
334,96,329.03000000000003
334,29,501.39000000000004
221,23,516.36
25,49,396.48
116,17,364.35
83,12,181.09
103,12,168.31
179,85,420.07
249,60,511.68
276,37,258.25
172,11,179.17
217,22,208.59
25,84,1383.83
334,4,111.123
46,47,337.28
39,111,351.73
32,74,5126.76
31,30,164.68
42,150,1567.69
26,226,882.72
196,7,191.94
25,266,1228.88
201,19,264.62
39,151,1502.8600000000001
270,12,123.1
213,40,334.23
42,122,525.69
177,60,167.5
195,24,323.03000000000003
334,11,369.5
334,21,127.08
217,12,207.15
90,21,426.63
27,115,2495.87
44,74,1107.46
262,12,416.86
87,7,145.35
135,18,404.58
112,76,5764.091499999983
334,4,111.123
156,14,337.44
299,6,325.1
334,4,181.0
105,29,1708.24
31,60,955.24
39,19,364.72
54,97,1744.71
31,41,708.22
56,84,781.91
38,97,1657.28
47,183,4416.26
54,42,428.89
97,7,111.123
42,28,470.76
40,111,808.87
46,80,397.68
25,20,666.1
326,11,314.1
40,34,4194.9
334,4,307.82000000000005
62,176,3442.15
107,24,371.01
188,96,427.64
40,65,1054.73
100,49,1098.78
111,43,2398.86
47,97,3408.48
45,112,1465.12
25,258,2780.63
146,37,1142.42
53,14,168.12
35,128,1432.77
42,26,156.78
67,52,792.11
26,4,111.123
31,308,2777.67
77,32,414.27
111,127,1032.58
59,308,3080.22
25,9,5764.091499999983
52,103,2735.37
35,201,578.71
234,8,111.123
70,308,1693.81
46,33,478.78
45,82,972.11
268,79,392.4
31,210,3352.96
58,94,1415.29
26,139,5764.091499999983
60,138,646.83
26,181,704.55
26,224,1465.51
70,32,211.88
62,28,408.90000000000003
69,160,3786.2400000000002
39,46,851.01
283,71,602.63
69,101,719.81
35,63,251.03
52,28,439.65999999999997
66,32,236.09
114,16,934.62
61,240,5764.091499999983
332,29,331.24
115,98,547.9
28,308,5764.091499999983
219,22,437.7
110,55,758.92
292,39,855.02
30,26,471.78000000000003
88,65,1313.55
53,6,3166.4
45,70,1177.47
60,39,773.99
142,83,1340.7
334,8,256.44
63,299,1074.81
196,10,137.9
77,34,362.06
55,84,1511.95
168,70,783.9
243,8,134.8
68,66,650.75
39,121,2263.12
88,178,1453.16
32,64,1153.62
283,23,335.32
334,73,367.14
39,101,1521.04
45,33,852.15
67,21,326.24
311,23,584.3199999999999
320,4,122.39999999999999
26,129,2234.73
306,4,111.123
39,21,1352.0
104,10,217.16
79,223,2799.42
123,31,1317.62
322,38,436.18
46,167,981.51
82,39,1121.39
177,18,315.06
137,51,817.86
129,4,111.123
34,63,1078.23
287,12,320.62
263,10,185.04999999999998
110,67,2005.63
73,39,731.9
93,76,1290.7
65,57,1842.14
30,48,1429.64
84,28,298.21
271,13,336.96
88,6,111.123
40,31,3204.1600000000003
107,48,842.5
241,18,611.88
68,308,1320.95
166,16,195.73999999999998
206,30,161.38
193,8,135.75000000000003
32,279,1660.8799999999999
234,34,612.78
212,30,232.21
31,16,423.36
82,30,1309.14
80,204,854.66
96,38,684.4200000000001
74,16,307.78
334,11,249.0
334,13,289.35
52,117,5764.091499999983
62,40,656.25
40,89,1880.22
74,78,3506.54
26,308,5764.091499999983
44,35,618.09
285,21,517.55
82,37,709.38
41,31,635.41
88,35,725.18
111,30,620.4
272,37,535.34
26,117,2424.94
269,4,175.2
31,224,3799.4900000000002
180,29,734.13
156,22,375.0
319,4,111.123
27,18,280.52
65,117,2053.02
291,29,1829.04
72,89,1824.23
31,128,3092.04
38,18,656.69
304,14,348.2
88,20,1025.44
25,308,5533.67
275,4,111.123
255,6,856.6
40,34,822.48
33,98,3787.6
31,85,1822.97
73,125,1885.05
82,4,111.123
118,69,1140.21
38,84,1418.32
149,23,1009.5500000000001
117,58,1037.59
73,15,331.95
161,8,197.9
83,11,215.83
123,162,5764.091499999983
96,11,305.54
95,28,5764.091499999983
90,15,338.71000000000004
87,45,1158.79
39,31,529.41
45,218,4006.94
54,295,5764.091499999983
67,67,981.86
38,11,215.48
63,6,215.08
25,134,5180.52
259,19,314.45
98,15,400.68100000000004
27,172,1068.8700000000001
26,111,1863.47
334,18,365.27
81,35,592.9
46,50,384.18
53,97,757.63
77,63,537.0600000000001
48,19,394.38
67,66,664.26
111,46,2262.62
25,123,5764.091499999983
111,23,547.02
42,41,690.34
101,6,159.0
193,44,1062.75
103,14,242.35
290,37,914.9300000000001
258,15,304.25
52,84,3084.68
59,95,860.86
334,122,773.5500000000001
80,96,1295.3
67,134,1096.32
226,8,255.12
248,6,314.22
110,47,1010.6
212,35,542.03
66,37,990.88
94,22,536.6800000000001
63,45,857.31
101,20,432.2
79,19,414.2
47,135,3718.8
32,308,2590.31
31,292,3579.86
56,51,409.1
234,91,1522.75
46,90,1413.66
193,16,114.56
84,7,152.94
75,69,1800.07
284,24,389.44
89,123,3683.86
39,270,2619.91
289,13,752.4300000000001
199,4,111.123
68,135,5203.51
73,18,1035.45
40,119,728.54
32,258,5447.0
96,61,861.89
94,45,667.65
334,54,1141.24
25,130,1404.64
139,25,411.7
334,65,351.75
219,33,559.87
