Recency_of_Purchase,Frequency_of_Purchases,Amount_Spent
199,6,810.6000000000001
123,23,566.38
44,106,1502.78
95,17,2062.06
334,11,168.3
28,166,1570.81
54,103,812.68
192,8,142.5
144,17,302.25
44,118,2248.9900000000002
32,79,1328.55
291,20,301.9
45,27,598.2
149,11,233.22
48,162,5360.63
161,22,361.21999999999997
236,41,632.27
60,4,2560.0
129,42,706.57
40,37,616.26
26,16,274.15000000000003
334,14,226.37
87,151,2938.91
142,69,1341.65
58,19,328.15
240,4,404.40000000000003
195,56,1038.46
95,12,373.65000000000003
25,37,326.75
219,4,207.50000000000003
151,111,408.59000000000003
69,18,594.24
28,300,3039.2200000000003
37,308,3820.27
40,39,251.91
51,151,1582.8
30,45,5764.091499999983
59,10,151.05
180,11,214.79999999999998
307,18,111.123
130,141,534.31
47,77,1971.87
98,15,322.41
39,43,328.58
181,4,111.123
67,37,565.46
34,85,847.45
55,222,1415.65
313,9,111.123
44,57,1116.47
334,8,153.9
40,28,494.44
26,94,5764.091499999983
86,39,395.8
220,31,211.77
56,34,658.88
25,109,2027.5
30,66,1750.92
27,308,3450.41
32,104,891.21
55,77,709.99
76,5,111.123
34,52,705.79
40,51,1540.42
41,18,327.3
60,127,800.67
25,69,479.91
41,117,1545.41
105,221,1301.91
56,92,355.73
89,109,466.73
31,122,974.96
290,5,676.2
270,23,362.95
27,108,2157.4
84,31,1743.1499999999999
97,98,643.76
112,33,584.5
83,57,554.86
51,81,302.57
334,4,111.123
76,34,1382.07
292,43,217.89
25,308,3040.96
79,83,1555.34
83,206,1482.06
177,82,1705.8
42,72,408.02
117,29,303.93
25,186,4098.32
287,57,293.45
334,10,177.5
93,23,443.05
325,5,167.25
41,58,154.35
35,168,2079.68
59,231,2022.98
42,44,211.7
76,30,135.99
79,31,262.2
44,7,126.25
67,47,200.27
49,71,1051.4
67,95,631.12
135,50,958.71
40,308,5764.091499999983
47,18,346.12
214,5,133.56
325,21,302.7
25,308,1863.76
286,9,241.06
129,4,284.55
80,6,300.85
236,76,623.28
87,8,287.4
51,17,184.26
52,107,1511.8
28,132,798.35
30,282,3640.67
90,24,381.2
25,171,609.3
69,84,654.67
56,63,230.51
25,4,5764.091499999983
158,34,255.91
221,19,182.99
220,40,707.69
172,11,311.92
110,14,266.97
67,4,111.123
86,99,1841.18
122,110,2158.18
241,9,208.36
25,202,3482.7400000000002
51,132,811.23
200,32,142.92
96,4,136.0
44,82,1422.4
42,230,1298.66
56,146,1595.96
97,4,111.123
46,171,625.42
74,164,752.77
297,13,223.95000000000002
187,18,316.11
30,308,1810.65
111,28,544.3
86,146,2494.46
48,17,331.0
33,35,300.83
98,53,769.29
38,18,220.62
215,19,139.35
196,25,404.3
100,42,363.65
56,29,498.8
69,39,731.5
102,56,1351.63
319,50,826.53
26,88,648.26
31,95,1599.52
72,136,2965.69
184,15,111.123
334,19,365.45
27,11,400.86
129,84,1431.93
48,83,465.88
54,4,777.6
42,4,111.123
319,13,363.7
334,13,248.1
44,159,918.33
27,35,874.59
75,111,1624.14
53,6,111.123
300,17,162.7
84,40,484.32
48,13,215.07999999999998
209,156,1046.57
25,290,5764.091499999983
25,183,5764.091499999983
194,15,290.36
104,14,228.06
26,17,244.41
213,30,455.25
45,77,1244.59
40,4,5764.091499999983
42,176,1082.81
28,31,593.75
133,54,548.12
25,45,1388.81
76,5,119.62
187,4,339.3
313,25,787.15
33,308,4034.9
131,251,2298.97
118,32,922.12
265,17,379.73
186,84,5719.82
65,52,837.1
58,17,285.89
89,207,3313.79
47,11,281.85
25,308,5764.091499999983
49,56,841.41
28,31,511.12
76,19,1077.74
334,4,173.7
38,18,614.66
217,35,865.6
26,5,124.2
38,126,3738.4
49,87,1421.69
150,57,1009.6
107,42,663.61
94,28,451.44
205,9,111.123
136,6,313.62
334,14,233.45
103,28,936.08
271,8,463.95
255,13,225.15
94,33,459.24
91,10,213.5
27,216,4113.68
73,27,330.03
98,53,181.09
84,85,360.16
38,12,250.15
27,7,111.123
308,10,145.04999999999998
27,62,813.52
63,30,242.7
59,29,528.08
97,34,482.47
40,172,3347.71
38,276,5493.46
242,6,111.123
209,10,129.49
55,66,1187.66
93,30,618.59
205,26,506.19
38,33,500.42
258,5,151.85
54,96,2647.59
286,14,226.21
26,9,178.96
74,29,813.48
268,5,129.45
103,48,810.5699999999999
297,23,333.08
25,179,4413.1
102,20,322.8
52,117,2188.05
96,60,408.63
40,152,2883.1
245,9,217.9
55,69,1154.47
45,94,1680.72
54,50,1257.51
128,12,231.10000000000002
27,34,688.33
268,27,487.51
200,62,833.78
192,14,214.06
65,19,290.65999999999997
94,24,518.42
81,118,5764.091499999983
39,69,1212.66
164,29,601.27
40,258,3789.52
45,73,5764.091499999983
32,192,874.43
334,8,123.24
212,4,111.123
39,16,1267.6499999999999
334,9,135.39999999999998
42,32,118.98
91,52,567.1800000000001
38,20,306.71999999999997
46,156,1348.88
39,252,4095.9
51,6,1692.27
25,114,5764.091499999983
77,93,304.24
56,89,1592.1200000000001
25,163,3109.99
334,4,129.75
66,10,183.7
95,44,1770.34
27,30,1028.0
27,277,5764.091499999983
84,62,324.24
70,308,2959.88
25,62,1260.86
98,13,422.59999999999997
95,12,225.57999999999998
279,4,1126.0
91,59,477.86
158,10,657.9000000000001
264,21,112.75
249,5,1998.0
31,308,5076.55
31,144,5398.3
25,270,5764.091499999983
60,123,531.35
68,27,656.63
107,79,3029.87
42,308,2467.99
26,22,1651.03
32,308,3611.31
41,308,5764.091499999983
241,87,1129.06
101,19,301.71999999999997
289,4,901.2
46,198,3843.08
334,44,606.0500000000001
37,196,1770.22
49,25,152.95
285,37,292.47
40,225,4730.81
114,42,576.4
325,145,758.27
49,178,1358.74
334,44,256.32
69,263,1048.28
61,308,5764.091499999983
75,82,743.11
54,28,603.75
75,52,646.76
101,116,2247.41
76,4,417.59999999999997
320,4,111.123
199,13,323.0
69,4,464.9
52,190,2213.13
34,236,1291.91
109,308,5764.091499999983
27,308,5764.091499999983
60,42,836.06
40,69,1515.9
67,95,623.93
53,25,1764.72
334,9,207.5
81,34,223.92000000000002
334,4,2002.4
137,165,1475.43
237,13,239.4
334,7,111.123
88,22,369.34000000000003
30,42,789.79
119,13,316.62
42,63,1207.24
221,23,611.85
26,308,2790.9500000000003
317,4,111.123
296,34,1145.6
53,221,5575.56
70,54,478.09000000000003
283,38,361.54
80,140,757.1
56,254,2242.61
80,26,171.59
90,48,661.52
33,157,1691.51
83,71,371.54
103,48,222.62
97,16,245.94
25,308,5764.091499999983
123,59,422.24
334,17,311.25
33,183,2267.9500000000003
42,4,111.123
146,148,594.39
31,5,111.123
26,93,1545.6200000000001
52,308,1705.78
305,12,111.123
80,16,243.84
25,277,1194.48
334,66,414.88
112,18,305.62
34,156,1162.65
186,75,1594.23
88,24,332.3
46,60,536.99
196,98,460.59
126,93,762.16
165,67,1121.59
122,23,288.42
46,149,914.69
215,15,309.54
27,28,547.07
334,15,479.35
31,308,1652.18
37,308,5764.091499999983
126,28,417.06
25,86,1604.75
33,188,3349.57
118,26,497.61
250,38,358.38
38,26,460.64
61,28,775.1800000000001
74,22,341.7
135,7,113.5
179,11,197.22
61,23,325.91
207,12,199.15
25,47,1106.53
250,24,413.46
151,10,180.85
62,11,251.87
54,165,3170.98
220,25,588.85
31,266,5764.091499999983
59,116,1869.82
123,63,1264.19
65,308,5764.091499999983
73,11,214.32
66,12,193.44
75,14,281.42
209,8,124.57
334,19,332.41
27,20,342.45
33,9,144.91000000000003
46,19,328.4
37,4,111.123
334,10,375.69000000000005
167,52,747.81
82,6,173.76
54,26,502.8
163,11,207.73999999999998
45,127,817.12
45,137,2812.34
100,7,680.02
27,279,5764.091499999983
90,112,2095.53
35,156,846.62
107,4,111.123
53,174,1491.43
89,4,432.0
89,39,705.12
210,37,272.48
60,26,429.84000000000003
38,96,450.41
58,36,192.32999999999998
217,135,1578.67
25,186,742.43
25,97,518.19
334,45,145.93
87,62,202.27
322,37,289.78
49,157,501.03
30,123,1271.06
39,78,882.16
139,44,1706.88
52,56,363.2
27,308,3653.75
28,199,3037.6
104,86,559.59
52,140,928.76
95,18,379.14
27,308,1508.96
51,100,2555.58
313,8,113.44
59,30,183.76
32,57,621.6800000000001
46,136,562.41
299,9,391.52
72,128,1068.82
179,308,2592.25
84,55,154.18
35,308,5764.091499999983
44,81,829.89
334,14,230.25
138,6,543.05
103,204,2814.7
26,77,1295.39
49,53,378.89
28,308,4554.87
76,48,150.23000000000002
25,44,563.23
77,61,931.03
48,56,261.9
31,235,2711.6800000000003
75,305,3049.88
35,277,1904.99
234,33,816.73
44,249,4345.5
258,21,406.48
161,19,435.02
26,60,1286.27
79,42,1178.56
157,86,1277.75
132,16,167.61
53,4,111.123
25,54,2085.08
207,25,518.67
40,16,308.74
262,16,416.64
110,7,117.35000000000001
61,101,507.05
139,14,234.17
210,7,111.123
249,26,201.19
31,28,2154.97
212,21,319.02
27,31,439.43
62,42,650.41
61,41,357.21
290,4,251.51999999999998
100,39,344.33
26,89,1852.0
278,81,1028.46
83,22,384.06
35,143,1905.87
111,308,4459.52
40,120,5464.12
52,4,1873.2
26,128,1616.8
28,7,126.12
30,12,1133.25
241,4,179.0
33,93,1614.31
53,37,1456.96
311,12,702.0
172,4,295.0
46,23,484.82
25,169,3989.57
108,49,1493.73
69,43,1312.1399999999999
27,44,781.78
73,52,889.9300000000001
41,11,195.36
53,15,270.9
31,72,583.4300000000001
51,214,1838.6100000000001
25,252,5764.091499999983
63,16,920.1
34,228,1258.08
54,7,111.123
68,4,111.123
83,9,357.77
208,4,154.82999999999998
101,148,877.5600000000001
133,4,716.0
86,11,146.87
34,22,380.35
109,28,1030.14
39,30,745.52
268,28,433.53000000000003
110,75,1267.32
53,22,112.4
160,15,449.73
49,69,1071.49
25,97,1036.58
55,102,1735.18
48,6,948.48
136,22,339.44
180,22,642.02
108,65,1100.9
140,43,925.35
25,308,5655.03
119,308,3185.64
217,42,240.89000000000001
51,83,399.09
153,13,498.48
51,83,1356.33
104,62,1179.89
52,308,3080.39
289,5,234.24
96,99,5232.2300000000005
334,69,533.33
44,78,1461.14
81,61,855.45
35,296,4552.14
51,143,2709.7000000000003
137,62,304.24
51,140,2429.03
40,174,1446.09
40,77,834.12
59,25,841.0799999999999
59,28,378.2
101,4,118.80000000000001
45,8,287.62
48,63,288.91
56,81,2003.85
132,52,1405.78
58,149,2747.9900000000002
146,186,1562.4
30,96,2050.08
51,115,1991.01
27,61,1974.65
25,195,3827.76
73,124,1774.03
334,14,302.0
45,74,1324.16
38,48,1022.13
25,211,954.42
41,65,971.74
33,42,1621.73
284,4,111.123
182,90,665.78
56,308,5764.091499999983
52,116,881.29
188,12,163.29999999999998
70,29,231.61
28,123,801.12
31,39,837.5
311,9,116.19999999999999
334,10,157.02
26,35,606.91
256,18,307.46
142,7,138.32
184,9,345.29999999999995
208,31,294.24
73,35,230.5
175,248,989.45
334,14,157.09
28,134,2463.17
38,27,4892.240000000001
129,23,413.2
39,52,1139.73
298,24,380.5
38,308,5764.091499999983
270,18,454.12
262,15,579.0
25,48,984.57
128,35,749.78
45,81,1714.59
74,9,124.88
217,14,1689.5
47,14,213.78
98,23,329.34
40,20,251.70000000000002
30,13,319.0
55,67,1266.97
44,101,1538.88
54,229,3518.03
51,104,1715.46
44,5,293.1
55,144,2467.35
307,10,158.68
61,12,206.34
80,54,835.78
312,16,224.91
101,15,317.76
28,86,3766.6
240,4,111.123
67,63,1443.69
224,15,306.13
201,80,711.79
79,125,783.97
80,23,239.92000000000002
30,73,3347.31
69,4,144.0
249,10,203.95
34,84,2474.23
129,60,383.75
81,19,444.74
51,236,2093.68
58,32,1699.3000000000002
296,29,262.62
52,29,1013.01
46,96,692.22
76,38,289.78
58,148,3560.08
198,57,1564.56
76,13,384.08
76,7,204.24
49,211,2317.2200000000003
276,4,226.85
63,157,2781.23
83,101,1059.1200000000001
257,9,113.5
27,271,1951.97
54,25,114.23
47,308,3187.55
30,62,334.48
88,27,328.65
333,48,416.89
331,21,393.49
41,47,939.32
38,208,1906.09
119,47,318.76
287,69,3638.41
35,308,3124.72
25,35,417.77
58,25,190.88
205,14,149.89000000000001
48,29,550.06
35,105,916.13
34,19,314.69
25,308,3719.1
334,15,382.5
131,40,1135.04
25,308,5764.091499999983
76,31,954.9
227,9,171.45
38,54,280.09000000000003
143,69,318.65
26,56,381.97
334,37,269.83
139,86,348.91
41,18,178.26
27,111,271.19
63,74,291.48
130,16,240.0
171,116,581.23
75,12,1253.3600000000001
231,23,111.123
161,122,550.01
25,73,296.58
150,37,317.2
130,6,763.64
65,114,2148.63
58,25,111.123
250,69,1065.3500000000001
264,15,246.04
80,9,187.82999999999998
153,89,1685.46
83,291,1647.48
44,44,151.37
49,122,1049.06
32,140,1417.63
54,104,931.02
26,96,513.01
331,4,550.8000000000001
31,132,1854.06
51,68,547.0
40,49,128.18
124,30,498.42
34,55,656.61
44,59,163.24
37,79,1135.63
334,53,250.04
33,66,5764.091499999983
118,12,111.123
101,55,1384.85
161,14,644.3
54,24,2328.84
47,131,2527.92
25,308,5764.091499999983
69,9,2600.34
123,73,1200.6200000000001
31,99,657.16
38,195,906.52
40,49,986.48
303,6,111.123
37,33,523.11
45,6,363.9
146,4,175.2
108,28,494.25
325,11,307.02
174,308,1981.06
40,308,5764.091499999983
117,9,243.36
52,308,5764.091499999983
179,157,682.29
334,17,193.64
69,31,157.62
38,83,519.6899999999999
26,308,2622.88
109,4,228.96
37,213,1156.6
202,8,111.123
31,70,1281.32
59,27,587.15
152,8,1740.0
73,16,1393.06
334,19,178.22
47,44,384.39
326,58,360.81
34,15,127.86
40,125,568.24
72,29,488.2
262,35,312.23
25,308,4462.68
35,308,4767.36
261,33,167.55
46,107,1878.87
95,33,446.18
40,86,418.4
63,251,1337.18
63,57,646.92
241,28,495.77
222,69,400.1
93,24,203.2
46,308,4058.32
34,78,389.71999999999997
31,109,5764.091499999983
88,4,111.123
27,49,193.39000000000001
42,15,336.4
37,45,256.11
30,28,2686.42
42,76,746.81
100,15,1259.56
25,213,5764.091499999983
186,4,508.8
329,56,417.27
242,4,203.86999999999998
62,27,5764.091499999983
45,89,681.41
137,38,653.38
149,206,2097.84
27,58,2598.85
59,32,263.92
27,196,5764.091499999983
25,82,1031.41
334,111,2184.42
186,4,111.123
207,13,771.85
39,64,1214.72
35,41,778.94
25,66,1258.06
66,6,778.0
102,14,507.84
52,269,5764.091499999983
65,30,463.46000000000004
34,206,4226.57
73,30,598.83
39,117,1979.37
69,26,698.41
42,43,759.17
31,271,5037.26
94,4,111.123
25,308,5764.091499999983
151,39,524.9200000000001
55,14,265.76
334,43,403.3
41,48,365.76
111,54,303.15999999999997
25,134,2373.82
25,9,216.29999999999998
276,17,388.45000000000005
179,5,186.42000000000002
59,135,2248.56
242,4,534.24
174,134,2389.1
199,9,120.9
63,36,541.53
25,276,2519.21
31,308,5764.091499999983
25,100,1721.4
40,19,486.71999999999997
215,61,517.53
226,8,131.7
334,17,249.86
149,19,1737.7
38,54,316.5
66,111,657.3
117,29,622.4300000000001
45,106,735.82
83,27,675.69
39,208,1875.86
181,9,289.96000000000004
33,41,763.28
33,5,137.0
39,88,1870.97
67,78,1125.07
214,174,697.54
102,14,194.37
100,29,511.82
26,82,1255.59
88,21,414.04
284,24,396.87
81,29,376.64
25,76,2092.32
25,109,3558.87
271,12,374.57
30,27,497.56
334,10,271.05
98,17,272.22
312,40,622.88
40,5,1138.0
243,18,288.6
32,28,689.1
25,38,558.96
229,127,2997.0299999999997
184,52,1145.84
98,14,302.2
284,88,605.58
303,22,387.31
80,308,5764.091499999983
47,20,308.48
25,308,5764.091499999983
51,105,2924.9900000000002
95,6,513.2
151,40,208.65
54,87,639.02
38,135,764.88
331,11,153.94
40,82,1844.02
76,30,546.81
52,45,723.2099999999999
25,73,1070.71
34,33,652.74
334,6,145.0
334,9,422.70000000000005
27,19,1195.8999999999999
76,47,939.37
25,253,3628.5
25,308,2367.12
213,14,296.7
76,9,223.36
303,13,164.4
200,4,111.123
52,74,887.67
48,9,111.123
47,25,578.9
292,25,170.75
66,141,642.32
256,5,111.123
46,6,148.86
220,42,267.16
334,39,290.34
83,49,930.41
152,4,1487.6
25,88,1952.45
42,105,480.31
228,6,157.9
37,34,541.46
117,26,854.95
42,45,165.12
37,63,1122.38
47,49,454.01
31,142,869.77
30,165,4331.48
334,29,344.14
73,271,1425.67
94,12,226.75000000000003
52,25,380.6
265,8,185.65
31,308,3564.83
241,5,143.45999999999998
27,50,448.90000000000003
275,45,215.72
25,308,5764.091499999983
259,29,175.27
30,35,1242.3
132,208,1116.68
123,23,1240.2
83,253,2404.17
25,196,1468.02
96,157,2203.67
26,212,3923.86
108,50,993.18
35,82,386.69
46,265,2806.69
236,55,2044.3700000000001
40,13,161.67000000000002
262,9,116.00999999999999
25,308,5054.42
101,11,394.72
240,63,309.36
56,56,191.99
63,233,1105.78
30,308,3961.12
76,135,2048.45
45,306,4544.55
80,98,386.32
153,14,329.6
196,4,571.1999999999999
28,67,930.28
334,74,214.37
82,4,111.123
44,26,1379.9
55,33,527.0500000000001
37,50,843.48
41,306,2020.4
104,5,111.123
28,123,1814.12
192,26,503.59999999999997
25,39,528.33
54,70,1324.84
59,296,2358.59
42,20,285.56
54,35,547.0600000000001
299,7,111.123
109,5,621.66
142,40,712.29
334,8,111.123
25,157,2895.64
242,51,1008.39
88,7,133.06
83,91,1797.5
161,52,868.49
44,8,166.08
34,232,3945.0
48,259,4867.72
59,44,1207.56
300,22,117.55
33,91,2638.94
96,82,1674.69
48,19,595.42
40,158,2999.46
164,38,178.75
48,86,1802.91
41,43,604.64
26,18,728.16
89,116,2055.51
25,15,347.75
65,68,3406.7200000000003
250,11,205.7
38,53,1572.71
73,110,3178.17
25,218,1594.97
97,27,551.04
25,308,5764.091499999983
27,77,1371.18
25,303,5764.091499999983
286,16,298.11
75,30,1992.1100000000001
46,11,184.4
33,118,2474.33
66,15,239.41
39,127,3155.83
30,286,5739.46
53,252,4726.8
334,19,290.40000000000003
150,46,740.9399999999999
160,16,200.47
164,15,283.12
154,35,765.34
61,115,2285.71
259,19,338.95
283,8,154.95
39,142,2534.64
275,24,417.95
53,74,1824.37
58,55,798.74
191,31,885.19
26,103,1823.52
27,308,5764.091499999983
208,5,152.4
210,34,263.33
192,7,137.45
33,23,385.1
67,29,522.91
334,10,153.0
223,4,326.4
45,245,5655.99
255,6,139.35
60,274,5396.04
49,50,1195.94
119,115,2424.04
150,10,3276.4000000000005
94,40,1033.0
39,192,3439.08
38,66,1060.25
26,165,2876.01
26,218,5298.4800000000005
102,67,1240.11
334,18,303.97
61,35,692.19
76,43,700.63
25,308,5764.091499999983
32,25,377.44
32,10,168.24
42,97,1879.05
34,47,2791.35
136,15,355.11
26,136,2322.4
263,6,111.123
135,4,111.123
201,35,674.52
28,184,1710.45
334,4,111.123
25,89,1664.65
25,308,5593.39
42,308,3408.2000000000003
40,90,819.96
44,25,287.59
55,19,712.78
286,4,111.123
73,71,772.55
181,56,367.63
38,21,271.2
31,98,2081.9
35,304,3957.43
221,38,1143.27
79,54,245.81
33,50,173.45
119,153,1213.73
277,4,111.123
47,190,647.56
44,81,650.32
182,12,188.02
95,67,283.47
76,13,131.94
108,68,266.85
175,128,1817.54
96,4,1112.95
304,14,225.9
49,189,1964.3
52,10,111.123
48,52,300.34
202,45,342.83
63,81,690.0
45,111,780.43
45,308,3039.17
60,103,1187.21
105,140,1285.04
96,10,512.31
34,43,546.04
39,61,5411.91
27,308,5764.091499999983
35,133,699.81
37,308,1698.07
59,17,111.123
27,33,387.68
94,48,3704.87
74,13,298.4
28,215,1987.33
45,64,1165.09
321,30,889.24
25,23,398.7
56,4,111.123
72,61,155.37
25,59,342.24
70,24,111.123
65,162,1541.23
49,117,2720.8
65,52,318.15
25,308,5764.091499999983
326,37,205.48
129,5,111.123
108,4,2033.1
104,51,901.1999999999999
241,26,605.8000000000001
334,297,5391.21
34,24,114.34
208,15,311.26
334,17,208.97
25,15,1418.03
27,54,5764.091499999983
28,197,5140.66
327,23,141.92000000000002
334,52,226.45000000000002
26,219,2097.88
334,11,330.9
82,148,3160.0
35,90,554.85
53,308,5764.091499999983
165,9,329.65
53,68,1157.8700000000001
130,40,428.18
25,270,1865.89
227,10,155.9
103,43,1848.96
208,46,683.46
193,12,237.61
66,26,379.45
196,6,178.51999999999998
334,26,458.92
327,8,133.35000000000002
26,142,664.34
26,113,695.0699999999999
35,53,156.34
54,102,869.28
152,10,111.35
44,65,716.0
235,20,201.37
334,91,586.89
185,34,203.85999999999999
79,28,244.1
248,15,111.123
94,192,1118.96
67,15,111.123
46,4,256.32
195,108,541.8100000000001
108,28,152.06
182,31,154.55
213,6,112.19999999999999
52,19,111.123
44,34,181.07
94,33,798.99
270,12,111.123
334,54,232.03
32,39,366.23
333,37,310.06
81,58,408.65
26,75,329.36
68,92,335.03
111,23,1304.04
27,308,4119.5
87,142,820.23
305,4,207.50000000000003
34,31,2962.5
334,4,244.08
156,21,397.29
68,23,212.54
34,5,843.0
58,39,1740.48
157,65,408.36
52,90,1331.57
74,21,704.25
161,28,142.89
28,72,380.13
31,43,4301.22
182,12,111.123
72,18,4020.04
153,4,304.56
30,4,111.123
256,20,149.57999999999998
60,9,176.68
170,4,358.56000000000006
25,70,5764.091499999983
95,71,482.2
62,20,1008.5400000000001
28,308,2314.13
221,19,557.3
272,4,111.123
89,31,111.68
139,7,508.4599999999999
194,26,111.123
44,249,1296.44
165,34,111.123
54,98,463.21
60,308,2599.19
60,68,1098.43
334,42,112.27
334,81,265.1
189,14,228.2
234,29,562.79
264,30,135.19
74,15,337.04
47,165,703.99
38,293,4483.26
334,57,321.79
52,21,288.14
334,12,300.91999999999996
58,138,732.41
188,30,811.45
168,48,152.68
45,21,631.35
79,4,111.123
208,13,198.57
34,38,201.12
259,29,630.84
248,5,111.123
144,79,674.89
304,4,111.123
97,164,1962.46
60,91,380.39
35,57,415.13
334,37,157.92
26,53,226.47
46,22,444.68
93,30,2116.19
258,31,247.39
279,14,174.8
334,28,111.123
178,31,187.29
51,30,162.22
27,46,120.03
55,122,1477.66
104,4,523.0
131,29,122.14
74,5,111.123
58,164,612.72
175,21,389.78
121,21,115.31
27,9,230.64999999999998
334,5,111.123
88,33,111.123
44,110,418.68
58,49,713.89
55,94,403.12
177,19,111.123
42,19,357.20000000000005
34,308,4097.37
76,7,165.04999999999998
47,115,529.29
27,127,2088.6
68,43,178.34
226,7,172.29000000000002
334,5,111.123
93,20,300.02
30,308,5764.091499999983
311,19,363.65
32,4,170.16
46,18,306.46
44,46,2119.41
196,27,720.52
156,7,814.0
28,137,2392.83
98,10,318.0
63,37,396.33
312,4,111.123
49,308,2009.24
280,25,453.0
208,18,247.44
137,72,3859.82
334,13,489.6
46,142,2611.75
31,223,2584.41
240,29,336.13
68,123,3613.15
41,4,1231.5
59,17,343.45
48,70,680.84
39,4,111.123
334,29,689.95
297,7,111.123
121,4,4055.7199999999993
84,37,166.03
25,89,5764.091499999983
116,36,2106.52
104,70,3017.3
334,21,580.0500000000001
34,196,849.06
30,106,2662.4
150,19,168.31
34,40,222.4
25,308,5764.091499999983
60,38,754.64
60,18,113.48000000000002
334,37,421.9
277,17,271.0
25,308,5764.091499999983
42,37,198.8
35,26,352.69
334,4,111.123
313,28,220.1
90,308,1403.1100000000001
48,72,315.65
33,308,5625.08
334,29,180.7
237,17,111.15
172,31,653.3
31,308,1793.06
47,34,574.4399999999999
52,192,1131.75
83,52,200.92000000000002
42,46,347.08
266,14,112.55000000000001
38,70,1059.39
235,4,931.4999999999999
52,20,681.9100000000001
86,38,784.33
318,8,152.65
40,159,5764.091499999983
180,15,1019.52
139,61,1000.16
30,43,2888.75
35,221,2861.55
163,10,160.35000000000002
68,7,179.33999999999997
73,16,612.0799999999999
55,37,566.58
157,38,653.35
26,21,399.19
98,25,371.62
35,122,675.64
32,34,453.4
324,23,530.15
80,39,638.0600000000001
38,80,1618.69
60,24,399.65000000000003
200,10,302.46000000000004
46,37,1384.8600000000001
199,130,1160.04
83,9,202.65
56,38,980.31
81,54,1231.31
37,189,5764.091499999983
109,31,2106.84
30,4,111.123
334,30,476.35
54,73,1340.8700000000001
151,97,1590.81
32,90,1793.17
27,119,1843.75
47,41,366.85
250,37,632.07
38,4,111.123
272,17,304.25
38,71,2001.04
100,68,1090.24
215,15,284.46000000000004
284,7,207.79999999999998
94,45,957.97
188,16,243.76
105,7,973.8399999999999
118,139,686.63
27,159,5425.56
129,30,150.35
222,68,1396.99
180,19,160.42000000000002
94,192,1975.35
59,32,517.36
51,8,139.10000000000002
25,134,2621.38
48,42,600.07
334,34,216.07
259,15,232.48000000000002
112,13,299.34000000000003
54,26,481.75
52,31,621.75
234,20,641.92
25,114,2069.77
249,4,305.28000000000003
45,64,1041.61
115,19,443.0
27,272,5764.091499999983
286,10,158.95000000000002
26,269,5504.96
67,242,5228.05
240,5,111.123
79,30,779.9
34,164,5764.091499999983
32,86,2810.2000000000003
215,123,2071.77
104,37,592.97
334,4,440.0
94,104,1796.48
52,49,882.24
25,61,987.1
241,88,1561.6100000000001
69,6,422.58
32,104,2073.09
95,78,2232.4900000000002
30,175,2567.06
46,4,596.1
145,47,804.02
40,8,111.123
333,21,349.27
110,16,4314.72
73,94,518.27
112,6,111.123
62,118,2337.63
47,42,2338.6000000000004
195,133,2628.35
66,21,324.24
163,13,149.48
48,61,1213.1599999999999
95,46,801.51
157,4,111.123
334,7,168.6
61,11,283.15
25,166,3078.58
25,4,204.0
53,11,175.92
66,14,335.86
81,8,111.123
96,9,173.9
300,10,180.60000000000002
203,7,111.123
30,12,178.05
26,308,2045.53
65,70,1837.28
